Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arnold Chan,Kevin Clarke,Trevor Ellis,Elizabeth Ying Long,Shahbaz Mir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 99","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 100","Scarborough",39,2,17,10,2,0,70,372
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 101","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 102","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 103","Scarborough",47,0,9,19,1,1,77,406
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 104","Scarborough",42,0,22,7,1,0,72,426
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 105","Scarborough",53,4,26,3,4,0,90,344
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 106","Scarborough",52,1,48,7,0,1,109,404
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 107","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 108","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 109","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 110","Scarborough",68,1,37,4,7,0,117,433
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 111","Scarborough",51,2,25,9,3,1,91,441
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Scarborough",79,0,37,17,2,0,135,375
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Scarborough",86,4,42,10,6,0,148,501
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Scarborough",72,4,38,7,2,0,123,527
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Scarborough",61,1,56,13,1,1,133,478
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Scarborough",52,1,26,11,3,0,93,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Scarborough",64,1,26,14,1,0,106,430
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Scarborough",75,0,25,4,0,0,104,412
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Scarborough",70,1,47,13,0,0,131,530
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Scarborough",69,5,36,9,1,0,120,499
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Scarborough",58,2,27,13,2,0,102,408
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Scarborough",22,0,15,8,1,0,46,391
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Scarborough",64,2,30,19,3,0,118,454
