Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Ashmore,John Barlow,Aileen Burke,Dustin Fuller,David Reimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 112","Crowsnest Pass",2,29,2,9,5,0,47,244
48020,"Macleod/Macleod"," 113A","Crowsnest Pass",1,28,1,12,2,1,45,291
48020,"Macleod/Macleod"," 113B","Crowsnest Pass",1,37,3,6,0,0,47,289
48020,"Macleod/Macleod"," 114","Crowsnest Pass",4,63,6,20,8,0,101,528
48020,"Macleod/Macleod"," 115","Lundbreck",9,45,6,15,2,0,77,516
48020,"Macleod/Macleod"," 116A","Nanton",5,44,3,2,0,0,54,210
48020,"Macleod/Macleod"," 116B","Nanton",1,49,1,5,1,0,57,227
48020,"Macleod/Macleod"," 117","Nanton",8,42,9,15,3,0,77,389
48020,"Macleod/Macleod"," 118A","Nanton",5,53,4,14,2,0,78,268
48020,"Macleod/Macleod"," 118B","Nanton",5,57,1,9,2,0,74,266
48020,"Macleod/Macleod"," 119","Nanton",9,52,2,20,5,1,89,339
48020,"Macleod/Macleod"," 120","Nanton",4,78,3,8,2,0,95,352
48020,"Macleod/Macleod"," 121","Parkland",4,46,5,2,3,0,60,304
48020,"Macleod/Macleod"," 122","Stavely",3,49,1,1,5,0,59,310
48020,"Macleod/Macleod"," 123","Stavely",4,57,5,10,0,0,76,454
48020,"Macleod/Macleod"," 124A","Claresholm",5,20,0,4,2,0,31,269
48020,"Macleod/Macleod"," 124B","Claresholm",2,23,1,0,0,0,26,266
48020,"Macleod/Macleod"," 125","Claresholm",13,44,0,10,8,1,76,349
48020,"Macleod/Macleod"," 126","Claresholm",3,48,2,12,4,0,69,392
48020,"Macleod/Macleod"," 127","Claresholm",2,38,5,1,4,0,50,352
48020,"Macleod/Macleod"," 128","Claresholm",2,41,9,5,0,0,57,312
48020,"Macleod/Macleod"," 129","Claresholm",2,48,1,13,3,6,73,338
48020,"Macleod/Macleod"," 130","Claresholm",2,81,2,14,0,0,99,535
48020,"Macleod/Macleod"," 131","Claresholm",5,34,1,12,1,1,54,214
48020,"Macleod/Macleod"," 132A","Claresholm",1,59,0,7,6,0,73,333
48020,"Macleod/Macleod"," 132B","Claresholm",5,72,1,24,2,0,104,337
48020,"Macleod/Macleod"," 133","Granum",3,66,1,6,17,0,93,430
48020,"Macleod/Macleod"," 134","Cowley",6,60,10,15,3,0,94,470
48020,"Macleod/Macleod"," 135","Peigan",2,0,2,13,0,0,17,397
48020,"Macleod/Macleod"," 136","Peigan",0,2,6,21,2,0,31,366
48020,"Macleod/Macleod"," 137","Beaver Mines",4,21,4,16,4,1,50,336
48020,"Macleod/Macleod"," 138","Pincher Creek",2,47,2,9,7,0,67,473
48020,"Macleod/Macleod"," 139","Pincher Creek",6,46,8,8,5,0,73,500
48020,"Macleod/Macleod"," 140","Pincher Creek",3,43,4,10,1,0,61,398
48020,"Macleod/Macleod"," 141","Pincher Creek",1,27,2,7,5,1,43,275
48020,"Macleod/Macleod"," 142A","Pincher Creek",1,29,1,2,2,2,37,288
48020,"Macleod/Macleod"," 142B","Pincher Creek",3,22,4,4,0,0,33,283
48020,"Macleod/Macleod"," 143","Pincher Creek",1,36,10,8,4,0,59,362
48020,"Macleod/Macleod"," 144","Pincher Creek",6,42,4,10,6,0,68,463
48020,"Macleod/Macleod"," 145","Pincher Creek",4,38,7,15,5,0,69,360
48020,"Macleod/Macleod"," 146","Twin Butte",10,31,3,6,2,1,53,235
48020,"Macleod/Macleod"," 147","Hill Spring",4,71,8,8,3,0,94,532
48020,"Macleod/Macleod"," 148","Granum",9,64,6,17,11,2,109,487
48020,"Macleod/Macleod"," 149","Fort Macleod",4,24,0,4,15,0,47,238
48020,"Macleod/Macleod"," 150","Fort Macleod",6,32,3,16,6,1,64,449
48020,"Macleod/Macleod"," 151","Fort Macleod",6,66,2,7,20,1,102,498
48020,"Macleod/Macleod"," 152","Fort Macleod",6,23,6,11,5,0,51,482
48020,"Macleod/Macleod"," 153","Fort Macleod",3,26,2,6,2,0,39,208
48020,"Macleod/Macleod"," 154","Fort Macleod",0,18,2,9,8,0,37,197
48020,"Macleod/Macleod"," 155","Fort Macleod",5,33,2,16,19,0,75,414
48020,"Macleod/Macleod"," 156","Fort Macleod",1,19,0,8,5,0,33,231
48020,"Macleod/Macleod"," 157","Fort Macleod",0,45,3,5,52,0,105,545
48020,"Macleod/Macleod"," 158","Fort Macleod",1,33,1,4,6,0,45,269
48020,"Macleod/Macleod"," 159","Glenwood",2,47,3,5,5,0,62,498
48020,"Macleod/Macleod"," 160","Blood",0,0,1,6,0,0,7,241
