Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Deheer,Kyle Harrietha,Lori McDaniel,Tim Moen,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 161","Lac La Biche",1,16,4,1,28,0,50,346
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 162","Lac La Biche",0,13,8,0,33,0,54,336
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 163","Barnegat",8,19,12,3,39,0,81,350
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 164","Beaver Lake",8,29,6,1,58,0,102,592
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 165","Hylo",12,10,6,2,57,1,88,365
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 166","Beaver Lake 131",2,10,4,0,33,0,49,343
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 500","Mobile poll/Bureau itinérant",2,10,18,3,18,3,54,110
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 501","Mobile poll/Bureau itinérant",3,8,3,1,21,0,36,102
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 502","Mobile poll/Bureau itinérant",0,2,4,1,20,0,27,106
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 503","Mobile poll/Bureau itinérant",4,14,5,0,31,1,55,158
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 504","Mobile poll/Bureau itinérant",3,8,8,3,24,1,47,111
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 505","Mobile poll/Bureau itinérant",1,0,1,0,12,0,14,36
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 600","Loon Lake--Wabasca",4,36,4,1,5,0,50,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 601","Fort Chipewyan",1,9,5,0,5,0,20,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 602","Fort McMurray",2,69,16,6,84,1,178,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 603","Fort McMurray",5,141,22,15,203,1,387,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 604","Fort McMurray",3,129,41,14,151,0,338,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 605","Fort McMurray",2,88,27,8,56,0,181,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 606","Fort McMurray",1,56,17,0,52,0,126,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 607","High Prairie",8,51,13,0,95,1,168,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 608","Slave Lake",7,27,4,3,105,1,147,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 609","Athabasca",20,57,38,5,251,0,371,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 610","Boyle",1,6,8,1,89,0,105,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 611","Lac La Biche",22,54,11,9,134,0,230,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca",,Group 1/Groupe 1,0,0,0,1,0,0,1,2
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca",,Group 2/Groupe 2,6,208,42,9,124,2,391,
