Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Dorian Baxter,Leslie Bory,Kevin Clarke,John Deverell,Judi Falardeau,Chrystia Freeland,Linda McQuaig,Michael Nicula,Geoff Pollock,"John ""The Engineer"" Turmel",Bahman Yazdanfar,Rejected Ballots,Total Votes,Electors
35093,Toronto Centre,401,Toronto,5,0,0,0,1,29,24,0,15,1,0,1,76,92
35093,Toronto Centre,402,Toronto,2,0,0,3,2,58,33,2,20,0,0,0,120,264
35093,Toronto Centre,403,Toronto,2,0,0,0,1,47,46,0,20,0,0,1,117,162
35093,Toronto Centre,404,Toronto,2,0,0,4,1,61,29,0,11,1,0,5,114,416
35093,Toronto Centre,405,Toronto,2,0,1,7,1,17,23,0,3,0,0,0,54,282
35093,Toronto Centre, 405-1,Toronto,Merged with No. 407-1,,,,,,,,,,,,,206
35093,Toronto Centre,406,Toronto,7,0,0,2,0,80,26,0,21,0,0,1,137,268
35093,Toronto Centre,407,Toronto,2,0,0,2,0,26,35,0,4,0,0,0,69,295
35093,Toronto Centre, 407-1,Toronto,0,0,0,2,0,41,52,1,4,1,0,1,102,242
35093,Toronto Centre,408,Toronto,4,0,0,5,1,53,19,0,14,0,1,1,98,344
35093,Toronto Centre,409,Toronto,2,1,1,1,2,51,76,1,1,0,1,0,137,377
35093,Toronto Centre,410,Toronto,3,1,1,1,3,63,66,0,15,0,0,0,153,219
35093,Toronto Centre,411,Toronto,Merged with No. 410,,,,,,,,,,,,,202
35093,Toronto Centre, 411-1,Toronto,1,0,0,2,0,24,15,0,4,0,0,2,48,141
35093,Toronto Centre,412,Toronto,2,0,2,1,2,50,57,0,10,0,0,1,125,366
35093,Toronto Centre,413,Toronto,0,2,0,1,0,58,49,0,2,2,0,1,115,415
35093,Toronto Centre,414,Toronto,0,0,0,0,1,24,9,0,4,0,0,0,38,225
35093,Toronto Centre,415,Toronto,Merged with No. 29,,,,,,,,,,,,,197
35093,Toronto Centre,416,Toronto,2,0,1,2,4,76,60,0,17,0,0,2,164,318
35093,Toronto Centre, 416-1,Toronto,0,3,0,3,0,46,42,0,2,0,0,0,96,281
35093,Toronto Centre,417,Toronto,3,0,1,1,1,68,33,0,16,0,0,1,124,321
35093,Toronto Centre,418,Toronto,Merged with No. 419,,,,,,,,,,,,,77
35093,Toronto Centre,419,Toronto,2,0,1,0,2,37,43,0,4,0,0,1,90,300
35093,Toronto Centre,420,Toronto,1,0,0,0,5,59,79,0,3,0,0,3,150,367
35093,Toronto Centre, 420-1,Toronto,3,2,1,2,3,58,61,0,7,0,0,2,139,377
35093,Toronto Centre,421,Toronto,Merged with No. 419,,,,,,,,,,,,,53
35093,Toronto Centre,422,Toronto,1,1,1,1,1,47,47,0,4,0,0,4,107,353
35093,Toronto Centre,423,Toronto,1,0,2,2,4,57,78,0,8,0,0,5,157,397
35093,Toronto Centre,424,Toronto,1,0,0,2,0,26,38,0,3,0,0,0,70,240
35093,Toronto Centre,425,Toronto,0,1,0,0,0,33,40,1,5,0,0,2,82,296
35093,Toronto Centre, 425-1,Toronto,1,0,0,2,0,23,36,0,4,0,0,0,66,218
35093,Toronto Centre,426,Toronto,2,0,0,12,1,74,48,0,13,1,0,0,151,375
35093,Toronto Centre,427,Toronto,0,0,1,0,0,51,51,0,7,0,0,0,110,299
35093,Toronto Centre, 427-1,Toronto,0,0,0,1,3,32,35,0,2,0,0,1,74,290
35093,Toronto Centre,428,Toronto,4,0,0,3,0,33,17,0,5,0,0,0,62,237
