Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Virginia Ervin,Grant Humes,Andrew Moriarity,Michael Nicula,Larry O'Connor,Erin O'Toole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 46","Scugog",5,17,3,1,30,53,0,109,355
35014,"Durham/Durham"," 47A","Scugog",1,39,0,0,20,54,0,114,373
35014,"Durham/Durham"," 47B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,1
35014,"Durham/Durham"," 48","Scugog",3,18,2,0,61,53,0,137,495
35014,"Durham/Durham"," 49","Scugog",3,59,0,1,42,160,0,265,437
35014,"Durham/Durham"," 50","Scugog",8,29,1,1,35,71,2,147,353
35014,"Durham/Durham"," 51","Scugog",0,27,0,0,32,56,1,116,354
35014,"Durham/Durham"," 52","Scugog",7,29,0,0,28,48,1,113,355
35014,"Durham/Durham"," 53","Scugog",4,13,0,0,32,54,0,103,297
35014,"Durham/Durham"," 54","Scugog",12,34,1,0,38,77,1,163,403
35014,"Durham/Durham"," 55","Scugog",3,13,2,0,15,29,0,62,238
35014,"Durham/Durham"," 56","Scugog",8,29,6,0,25,89,0,157,459
35014,"Durham/Durham"," 57","Scugog",3,22,3,0,24,57,0,109,474
35014,"Durham/Durham"," 58","Scugog",2,20,1,0,48,76,0,147,539
35014,"Durham/Durham"," 59","Scugog",10,30,3,0,22,78,1,144,507
35014,"Durham/Durham"," 60","Scugog",6,15,2,0,23,53,0,99,347
35014,"Durham/Durham"," 60-1","Scugog",5,13,0,0,38,62,1,119,363
35014,"Durham/Durham"," 61","Scugog",5,20,2,0,22,35,0,84,373
35014,"Durham/Durham"," 62","Scugog",7,24,1,2,43,76,0,153,528
35014,"Durham/Durham"," 63","Scugog",5,24,2,3,37,110,1,182,464
35014,"Durham/Durham"," 64","Scugog",9,11,3,0,44,86,0,153,464
35014,"Durham/Durham"," 65","Scugog",8,22,1,3,15,66,1,116,338
35014,"Durham/Durham"," 66","Scugog",1,12,3,0,26,99,0,141,398
35014,"Durham/Durham"," 67","Scugog",9,27,3,0,35,63,0,137,484
35014,"Durham/Durham"," 68","Clarington",5,31,5,0,47,104,0,192,487
35014,"Durham/Durham"," 69","Clarington",5,20,4,0,36,99,0,164,480
35014,"Durham/Durham"," 70","Clarington",9,21,1,0,21,68,0,120,374
35014,"Durham/Durham"," 71","Clarington",7,34,0,0,42,81,0,164,465
35014,"Durham/Durham"," 72","Clarington",5,30,0,0,29,116,0,180,503
35014,"Durham/Durham"," 73","Clarington",5,15,2,0,27,106,1,156,452
35014,"Durham/Durham"," 74","Clarington",6,20,1,0,42,76,1,146,405
35014,"Durham/Durham"," 75","Clarington",4,18,1,0,27,66,1,117,315
35014,"Durham/Durham"," 76","Clarington",10,30,6,1,41,67,0,155,433
35014,"Durham/Durham"," 77","Clarington",4,29,5,0,11,65,0,114,326
35014,"Durham/Durham"," 78","Clarington",7,27,5,1,29,77,0,146,459
35014,"Durham/Durham"," 79","Clarington",2,12,1,0,23,38,2,78,377
35014,"Durham/Durham"," 80","Clarington",1,10,1,0,15,37,0,64,276
35014,"Durham/Durham"," 81","Clarington",8,12,0,1,20,42,0,83,308
35014,"Durham/Durham"," 82","Clarington",7,13,0,3,32,60,0,115,433
35014,"Durham/Durham"," 83","Clarington",7,13,0,2,30,58,0,110,437
35014,"Durham/Durham"," 84","Clarington",6,28,2,0,38,67,3,144,558
35014,"Durham/Durham"," 85","Clarington",2,18,0,0,25,51,0,96,398
35014,"Durham/Durham"," 86","Clarington",5,35,0,2,45,68,1,156,454
35014,"Durham/Durham"," 87","Clarington",4,16,0,0,26,73,0,119,525
35014,"Durham/Durham"," 88","Clarington",7,46,3,0,33,48,0,137,492
35014,"Durham/Durham"," 89","Clarington",5,15,3,2,51,60,1,137,534
35014,"Durham/Durham"," 90","Clarington",3,8,0,0,36,49,1,97,483
35014,"Durham/Durham"," 91","Clarington",7,37,4,0,29,57,0,134,504
35014,"Durham/Durham"," 92","Clarington",9,16,2,1,26,53,3,110,477
35014,"Durham/Durham"," 92-1","Clarington",6,20,2,0,46,56,0,130,485
35014,"Durham/Durham"," 93","Clarington",1,22,1,0,32,87,1,144,545
35014,"Durham/Durham"," 94","Clarington",10,25,1,0,26,65,0,127,474
35014,"Durham/Durham"," 95","Clarington",4,30,0,0,71,51,1,157,573
35014,"Durham/Durham"," 96","Clarington",5,29,1,1,48,79,0,163,474
35014,"Durham/Durham"," 97","Clarington",4,33,1,1,42,37,0,118,385
35014,"Durham/Durham"," 98","Clarington",8,17,4,1,28,71,0,129,438
35014,"Durham/Durham"," 99","Clarington",5,13,0,1,46,51,0,116,407
35014,"Durham/Durham"," 100","Clarington",1,28,0,0,35,39,0,103,432
35014,"Durham/Durham"," 101","Clarington",1,13,0,0,31,49,1,95,370
35014,"Durham/Durham"," 102","Clarington",8,29,0,0,45,78,0,160,507
35014,"Durham/Durham"," 103","Clarington",5,34,0,2,48,77,0,166,477
35014,"Durham/Durham"," 104","Clarington",7,20,0,0,46,66,0,139,476
35014,"Durham/Durham"," 105","Clarington",7,27,1,0,42,35,0,112,491
35014,"Durham/Durham"," 106","Clarington",5,22,1,0,38,49,0,115,528
35014,"Durham/Durham"," 107","Clarington",10,18,1,0,46,30,0,105,495
35014,"Durham/Durham"," 108A","Clarington",2,9,0,0,28,42,0,81,363
35014,"Durham/Durham"," 108B","Clarington",0,14,0,0,14,38,0,66,372
35014,"Durham/Durham"," 109","Clarington",4,26,1,1,62,81,0,175,597
35014,"Durham/Durham"," 110","Clarington",9,29,0,0,27,72,0,137,527
35014,"Durham/Durham"," 111","Clarington",4,29,4,0,37,95,0,169,520
35014,"Durham/Durham"," 112","Clarington",8,21,2,0,23,77,1,132,506
35014,"Durham/Durham"," 113","Clarington",2,21,2,0,20,52,0,97,515
35014,"Durham/Durham"," 114","Clarington",8,27,2,0,31,47,0,115,402
35014,"Durham/Durham"," 115A","Clarington",4,12,0,0,15,41,0,72,378
35014,"Durham/Durham"," 115B","Clarington",0,13,1,1,10,32,0,57,372
35014,"Durham/Durham"," 115-1","Clarington",2,17,2,1,69,50,0,141,642
35014,"Durham/Durham"," 115-2","Clarington",9,15,1,0,37,55,0,117,505
35014,"Durham/Durham"," 116","Clarington",3,18,3,2,42,68,0,136,464
35014,"Durham/Durham"," 116-1","Clarington",7,31,1,0,42,98,6,185,506
35014,"Durham/Durham"," 116-2","Clarington",4,12,0,1,46,57,1,121,571
35014,"Durham/Durham"," 117","Clarington",1,21,1,1,38,68,1,131,523
35014,"Durham/Durham"," 118","Clarington",9,35,0,0,46,97,0,187,585
35014,"Durham/Durham"," 118-1","Clarington",2,32,2,1,37,84,0,158,498
35014,"Durham/Durham"," 118-2","Clarington",3,17,0,0,45,100,0,165,535
