Electoral District Number/NumÇro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/NumÇro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Borenstein,Celina Caesar-Chavannes,Craig Cameron,Trish McAuliffe,Pat Perkins,"John ""The Engineer"" Turmel",Rejected Ballots/Bulletins rejetÇs,Total Votes/Total des votes,Electors/êlecteurs
35099,Whitby--Oshawa/Whitby--Oshawa, 20B,Whitby,Merged with No. 19B/FusionnÇ avec le nß 19B,,,,,,,,191
35099,Whitby--Oshawa/Whitby--Oshawa,21,Whitby,1,38,2,9,60,0,0,110,421
35099,Whitby--Oshawa/Whitby--Oshawa,22,Whitby,0,72,1,3,82,0,0,158,517
35099,Whitby--Oshawa/Whitby--Oshawa,23,Whitby,0,46,5,8,51,0,0,110,429
35099,Whitby--Oshawa/Whitby--Oshawa,24,Whitby,0,33,3,7,58,0,0,101,345
35099,Whitby--Oshawa/Whitby--Oshawa,25,Whitby,0,40,3,2,75,0,0,120,454
35099,Whitby--Oshawa/Whitby--Oshawa,26,Whitby,0,36,0,5,48,0,0,89,411
35099,Whitby--Oshawa/Whitby--Oshawa,27,Whitby,0,33,2,3,42,1,1,82,341
35099,Whitby--Oshawa/Whitby--Oshawa, 28A,Whitby,Merged with No. 30A/FusionnÇ avec le nß 30A,,,,,,,,201
35099,Whitby--Oshawa/Whitby--Oshawa, 28B,Whitby,Merged with No. 30B/FusionnÇ avec le nß 30B,,,,,,,,220
35099,Whitby--Oshawa/Whitby--Oshawa,29,Whitby,0,37,7,4,79,1,0,128,501
35099,Whitby--Oshawa/Whitby--Oshawa, 30A,Whitby,1,39,1,11,40,0,0,92,303
35099,Whitby--Oshawa/Whitby--Oshawa, 30B,Whitby,0,46,2,4,53,1,0,106,270
35099,Whitby--Oshawa/Whitby--Oshawa,31,Whitby,0,53,1,3,57,2,1,117,352
35099,Whitby--Oshawa/Whitby--Oshawa,32,Whitby,0,74,1,5,44,1,0,125,385
35099,Whitby--Oshawa/Whitby--Oshawa,33,Whitby,0,49,2,9,72,0,0,132,407
35099,Whitby--Oshawa/Whitby--Oshawa,34,Whitby,0,74,0,1,41,0,0,116,472
35099,Whitby--Oshawa/Whitby--Oshawa,35,Whitby,0,62,0,4,37,1,0,104,409
35099,Whitby--Oshawa/Whitby--Oshawa, 36A,Whitby,0,55,1,1,24,0,0,81,407
35099,Whitby--Oshawa/Whitby--Oshawa, 36B,Whitby,0,38,1,4,29,0,0,72,425
35099,Whitby--Oshawa/Whitby--Oshawa,37,Whitby,0,51,2,6,37,0,0,96,448
35099,Whitby--Oshawa/Whitby--Oshawa, 38A,Whitby,0,28,1,5,33,0,1,68,358
35099,Whitby--Oshawa/Whitby--Oshawa, 38B,Whitby,0,30,0,4,31,0,0,65,337
35099,Whitby--Oshawa/Whitby--Oshawa,39,Whitby,1,59,0,4,37,0,0,101,412
35099,Whitby--Oshawa/Whitby--Oshawa, 40A,Whitby,0,31,2,3,36,0,0,72,361
35099,Whitby--Oshawa/Whitby--Oshawa, 40B,Whitby,0,27,0,2,28,0,0,57,332
35099,Whitby--Oshawa/Whitby--Oshawa,41,Whitby,2,70,0,3,46,0,0,121,528
35099,Whitby--Oshawa/Whitby--Oshawa,42,Whitby,0,42,0,3,33,0,0,78,450
35099,Whitby--Oshawa/Whitby--Oshawa, 43A,Whitby,1,37,0,2,29,0,0,69,302
35099,Whitby--Oshawa/Whitby--Oshawa, 43B,Whitby,1,38,0,0,42,0,0,81,297
35099,Whitby--Oshawa/Whitby--Oshawa,44,Whitby,0,42,2,8,51,0,0,103,477
35099,Whitby--Oshawa/Whitby--Oshawa, 45A,Whitby,0,34,1,0,49,0,0,84,294
35099,Whitby--Oshawa/Whitby--Oshawa, 45B,Whitby,0,42,1,2,37,0,0,82,294
35099,Whitby--Oshawa/Whitby--Oshawa,46,Whitby,0,41,0,3,45,0,1,90,520
35099,Whitby--Oshawa/Whitby--Oshawa,47,Whitby,0,69,2,4,58,1,0,134,533
35099,Whitby--Oshawa/Whitby--Oshawa, 48A,Whitby,0,40,1,1,43,0,0,85,319
35099,Whitby--Oshawa/Whitby--Oshawa, 48B,Whitby,0,35,1,4,20,0,0,60,308
35099,Whitby--Oshawa/Whitby--Oshawa, 49A,Whitby,Merged with No. 53A/FusionnÇ avec le nß 53A,,,,,,,,153
35099,Whitby--Oshawa/Whitby--Oshawa, 49B,Whitby,Merged with No. 53B/FusionnÇ avec le nß 53B,,,,,,,,164
35099,Whitby--Oshawa/Whitby--Oshawa,50,Whitby,1,42,6,9,54,1,0,113,490
35099,Whitby--Oshawa/Whitby--Oshawa, 51A,Whitby,1,50,2,3,71,1,0,128,254
35099,Whitby--Oshawa/Whitby--Oshawa, 51B,Whitby,0,53,1,10,55,1,0,120,284
35099,Whitby--Oshawa/Whitby--Oshawa,52,Whitby,0,83,5,6,30,2,0,126,488
35099,Whitby--Oshawa/Whitby--Oshawa, 53A,Whitby,1,77,2,7,61,0,3,151,311
35099,Whitby--Oshawa/Whitby--Oshawa, 53B,Whitby,0,52,0,17,74,0,3,146,308
35099,Whitby--Oshawa/Whitby--Oshawa,54,Whitby,0,62,0,8,62,0,0,132,432
35099,Whitby--Oshawa/Whitby--Oshawa,55,Whitby,0,64,1,9,49,0,0,123,493
35099,Whitby--Oshawa/Whitby--Oshawa,56,Whitby,0,50,1,8,35,0,1,95,449
35099,Whitby--Oshawa/Whitby--Oshawa,57,Whitby,0,63,0,3,62,0,1,129,389
35099,Whitby--Oshawa/Whitby--Oshawa,58,Whitby,1,68,1,15,74,0,0,159,492
35099,Whitby--Oshawa/Whitby--Oshawa,59,Whitby,1,65,0,5,77,0,0,148,547
35099,Whitby--Oshawa/Whitby--Oshawa,60,Whitby,0,88,3,6,95,0,0,192,546
35099,Whitby--Oshawa/Whitby--Oshawa,61,Whitby,0,66,3,5,66,0,1,141,486
35099,Whitby--Oshawa/Whitby--Oshawa, 62A,Whitby,1,54,0,2,55,0,1,113,368
35099,Whitby--Oshawa/Whitby--Oshawa, 62B,Whitby,0,43,0,8,49,1,0,101,377
35099,Whitby--Oshawa/Whitby--Oshawa, 63A,Whitby,0,47,1,7,51,1,0,107,334
35099,Whitby--Oshawa/Whitby--Oshawa, 63B,Whitby,0,30,1,7,38,0,0,76,305
35099,Whitby--Oshawa/Whitby--Oshawa,64,Whitby,0,76,1,9,76,1,0,163,517
35099,Whitby--Oshawa/Whitby--Oshawa,65,Whitby,1,48,1,3,32,1,0,86,404
35099,Whitby--Oshawa/Whitby--Oshawa,66,Whitby,0,56,2,10,82,1,1,152,553
35099,Whitby--Oshawa/Whitby--Oshawa,67,Whitby,1,62,0,7,47,0,1,118,557
35099,Whitby--Oshawa/Whitby--Oshawa,68,Whitby,0,44,0,4,38,0,0,86,446
35099,Whitby--Oshawa/Whitby--Oshawa,69,Whitby,0,63,1,12,35,1,0,112,511
35099,Whitby--Oshawa/Whitby--Oshawa,70,Whitby,0,70,1,12,72,0,2,157,528
35099,Whitby--Oshawa/Whitby--Oshawa,71,Whitby,0,49,5,7,62,0,1,124,483
35099,Whitby--Oshawa/Whitby--Oshawa,72,Whitby,1,47,0,19,73,0,0,140,453
35099,Whitby--Oshawa/Whitby--Oshawa, 73A,Whitby,0,68,2,4,42,2,0,118,374
35099,Whitby--Oshawa/Whitby--Oshawa, 73B,Whitby,0,45,0,3,61,1,0,110,335
35099,Whitby--Oshawa/Whitby--Oshawa,74,Whitby,0,47,0,8,48,1,0,104,476
35099,Whitby--Oshawa/Whitby--Oshawa,75,Whitby,1,56,3,10,63,0,0,133,532
35099,Whitby--Oshawa/Whitby--Oshawa,76,Whitby,1,84,3,10,47,1,0,146,513
35099,Whitby--Oshawa/Whitby--Oshawa, 77A,Whitby,Merged with No. 201A/FusionnÇ avec le nß 201A,,,,,,,,215
35099,Whitby--Oshawa/Whitby--Oshawa, 77B,Whitby,Merged with No. 201B/FusionnÇ avec le nß 201B,,,,,,,,237
35099,Whitby--Oshawa/Whitby--Oshawa,78,Whitby,0,78,0,0,91,0,0,169,472
35099,Whitby--Oshawa/Whitby--Oshawa,79,Whitby,0,74,3,7,66,0,1,151,454
35099,Whitby--Oshawa/Whitby--Oshawa, 80A,Whitby,0,74,0,4,97,2,1,178,303
