Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 16","Gloucester",N,N,"",0,364,"Wilson","","Damien","Libertarian","Libertarien",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Dookeran","","Nira","Green Party","Parti Vert",N,N,6
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Fortier","","Mona","Liberal","Libéral",N,Y,36
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,38
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,31
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 17","Gloucester",N,N,"",2,398,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Dookeran","","Nira","Green Party","Parti Vert",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Fortier","","Mona","Liberal","Libéral",N,Y,67
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,14
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,24
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 18","Gloucester",N,N,"",1,359,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Dookeran","","Nira","Green Party","Parti Vert",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Fortier","","Mona","Liberal","Libéral",N,Y,31
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,19
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,19
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 19","Gloucester",N,N,"",1,424,"Wilson","","Damien","Libertarian","Libertarien",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Dookeran","","Nira","Green Party","Parti Vert",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Fortier","","Mona","Liberal","Libéral",N,Y,32
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,21
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 20","Gloucester",N,N,"",3,278,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Dookeran","","Nira","Green Party","Parti Vert",N,N,4
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Fortier","","Mona","Liberal","Libéral",N,Y,51
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,19
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,17
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 21","Gloucester",N,N,"",1,335,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Dookeran","","Nira","Green Party","Parti Vert",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Fortier","","Mona","Liberal","Libéral",N,Y,31
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,12
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Turmel","","John 'The Engineer'","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Wilson","","Christina","Independent","Indépendant",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 22","Gloucester",N,N,"",0,372,"Wilson","","Damien","Libertarian","Libertarien",N,N,0
35078,"Ottawa--Vanier","Ottawa--Vanier"," 23","Gloucester",N,N,"",0,447,"Dookeran","","Nira","Green Party","Parti Vert",N,N,1
35078,"Ottawa--Vanier","Ottawa--Vanier"," 23","Gloucester",N,N,"",0,447,"Fortier","","Mona","Liberal","Libéral",N,Y,47
35078,"Ottawa--Vanier","Ottawa--Vanier"," 23","Gloucester",N,N,"",0,447,"Papara","","Adrian Paul","Conservative","Conservateur",N,N,30
35078,"Ottawa--Vanier","Ottawa--Vanier"," 23","Gloucester",N,N,"",0,447,"Taman","","Emilie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
