Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Dilworth,Fin Donnelly,Rebecca Helps,Ken Beck Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,64,Coquitlam,63,66,2,11,0,142,442
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,65,Coquitlam,32,60,5,13,0,110,343
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,66,Coquitlam,35,53,1,13,0,102,467
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,67,Coquitlam,63,109,5,12,1,190,497
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,68,Coquitlam,40,35,2,20,0,97,443
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,69,Coquitlam,26,62,10,13,0,111,518
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,70,Coquitlam,52,43,1,13,0,109,556
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,71,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 72A,Coquitlam,28,63,4,5,0,100,330
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 72B,Coquitlam,21,45,5,2,0,73,271
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,73,Coquitlam,27,75,3,13,0,118,506
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,74,Coquitlam,50,45,0,12,0,107,334
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,75,Coquitlam,76,78,6,16,0,176,472
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,76,Coquitlam,51,61,5,13,0,130,437
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,77,Coquitlam,49,83,2,12,0,146,456
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,78,Coquitlam,15,65,1,8,1,90,479
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,79,Coquitlam,30,59,3,14,1,107,530
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,80,Coquitlam,16,20,3,4,0,43,336
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,81,Coquitlam,24,56,1,5,0,86,549
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,82,Coquitlam,18,42,3,7,0,70,367
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,83,Coquitlam,26,40,1,9,0,76,374
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,84,Coquitlam,48,46,5,14,0,113,508
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,85,Coquitlam,60,47,2,3,0,112,372
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,86,Coquitlam,22,66,2,4,0,94,339
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,87,Coquitlam,48,70,5,12,0,135,415
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,88,Coquitlam,20,33,3,10,0,66,484
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,89,Coquitlam,10,26,1,4,1,42,343
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,90,Coquitlam,19,27,3,5,0,54,402
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,91,Coquitlam,36,46,5,8,0,95,378
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,92,Coquitlam,40,43,1,7,0,91,391
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,93,Coquitlam,68,63,3,15,0,149,470
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,94,Coquitlam,45,54,4,17,0,120,443
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,95,Coquitlam,34,40,4,15,0,93,357
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,96,Coquitlam,34,43,1,10,0,88,317
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,97,Coquitlam,7,50,4,5,0,66,378
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,98,Coquitlam,41,54,3,4,0,102,377
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,99,Coquitlam,14,15,0,2,0,31,315
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,100,Coquitlam,10,46,2,5,0,63,319
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,101,Coquitlam,8,17,3,3,0,31,312
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,102,Coquitlam,25,31,3,2,0,61,413
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,103,Coquitlam,32,63,10,9,0,114,546
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,104,Coquitlam,56,63,4,18,0,141,432
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,105,Coquitlam,43,53,0,7,0,103,372
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,106,Coquitlam,29,69,4,13,0,115,426
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,107,Coquitlam,57,59,7,7,1,131,467
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,108,Coquitlam,36,63,0,7,1,107,492
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,109,Coquitlam,14,33,2,10,0,59,416
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,110,Coquitlam,31,53,6,1,0,91,308
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,111,Coquitlam,25,47,1,9,0,82,501
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,112,Coquitlam,20,46,1,8,0,75,550
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,113,Coquitlam,34,70,5,6,0,115,499
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,114,Coquitlam,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,115,Coquitlam,52,61,5,8,1,127,429
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,116,Coquitlam,32,68,5,4,0,109,358
